plant_id,plant_name,month,net_gen_mwh,year,county,state,hours_in_month,plant_capacity_mw,max_gen_plant_mwh,cf_plant,max_gen_portfolio_mwh,cf_portfolio
58720,Pattern Panhandle Wind 2 LLC,9,41980.149,2018,Carson,TX,720,181.7,130823.99999999999,0.3208902724270776,288000,0.14576440624999998
58242,Pattern Panhandle Wind LLC,10,58679.0,2018,Carson,TX,744,218.0,162192.0,0.36178726447666965,297600,0.19717405913978495
58720,Pattern Panhandle Wind 2 LLC,10,55932.975,2018,Carson,TX,744,181.7,135184.8,0.41375195288227673,297600,0.1879468245967742
58242,Pattern Panhandle Wind LLC,11,62676.0,2018,Carson,TX,720,218.0,156960.0,0.3993119266055046,288000,0.217625
58720,Pattern Panhandle Wind 2 LLC,11,60411.52,2018,Carson,TX,720,181.7,130823.99999999999,0.46177704396746777,288000,0.2097622222222222
58242,Pattern Panhandle Wind LLC,12,67730.0,2018,Carson,TX,744,218.0,162192.0,0.4175914964979777,297600,0.22758736559139786
58720,Pattern Panhandle Wind 2 LLC,12,63658.79,2018,Carson,TX,744,181.7,135184.8,0.47090198010427214,297600,0.2139072244623656
58242,Pattern Panhandle Wind LLC,1,75329.0,2019,Carson,TX,744,218.0,162192.0,0.4644433757521949,297600,0.25312163978494623
58720,Pattern Panhandle Wind 2 LLC,1,66474.313,2019,Carson,TX,744,181.7,135184.8,0.491729195885928,297600,0.22336798723118279
58242,Pattern Panhandle Wind LLC,2,74113.0,2019,Carson,TX,672,218.0,146496.0,0.5059045980777632,268800,0.27571800595238094
58720,Pattern Panhandle Wind 2 LLC,2,63738.208,2019,Carson,TX,672,181.7,122102.4,0.5220061849726132,268800,0.23712130952380953
58242,Pattern Panhandle Wind LLC,3,60891.0,2019,Carson,TX,744,218.0,162192.0,0.37542542172240306,297600,0.2046068548387097
58720,Pattern Panhandle Wind 2 LLC,3,63041.711,2019,Carson,TX,744,181.7,135184.8,0.46633727312538104,297600,0.2118337063172043
58242,Pattern Panhandle Wind LLC,4,74500.0,2019,Carson,TX,720,218.0,156960.0,0.47464322120285424,288000,0.2586805555555556
58720,Pattern Panhandle Wind 2 LLC,4,73393.111,2019,Carson,TX,720,181.7,130823.99999999999,0.5610064743472146,288000,0.25483719097222224
58242,Pattern Panhandle Wind LLC,5,62585.0,2019,Carson,TX,744,218.0,162192.0,0.3858698332840091,297600,0.21029905913978494
58720,Pattern Panhandle Wind 2 LLC,5,71665.412,2019,Carson,TX,744,181.7,135184.8,0.5301292157106421,297600,0.24081119623655914
58242,Pattern Panhandle Wind LLC,6,57153.0,2019,Carson,TX,720,218.0,156960.0,0.36412461773700305,288000,0.19844791666666667
58720,Pattern Panhandle Wind 2 LLC,6,56798.136,2019,Carson,TX,720,181.7,130823.99999999999,0.43415685195376996,288000,0.19721575
58242,Pattern Panhandle Wind LLC,7,55268.0,2019,Carson,TX,744,218.0,162192.0,0.3407566341126566,297600,0.18571236559139784
58720,Pattern Panhandle Wind 2 LLC,7,58799.292,2019,Carson,TX,744,181.7,135184.8,0.4349549061728834,297600,0.19757826612903226
58242,Pattern Panhandle Wind LLC,8,53050.0,2019,Carson,TX,744,218.0,162192.0,0.32708148367367074,297600,0.17825940860215053
58720,Pattern Panhandle Wind 2 LLC,8,56512.204,2019,Carson,TX,744,181.7,135184.8,0.4180366727620265,297600,0.18989315860215053
